Town, Total , Total Males ,Total Females , Total Chinese,Chinese Males ,Chinese Females ,Total Malays,Malay Males ,Malay Females ,Total Indians,Indian Males ,Indian Females ,Total Others ,Other Males ,Other Females 
             Fajar ,"22,991","11,622","11,369","16,479","8,295","8,184","4,479","2,309","2,170","1,592",815,777,441,203,238
             Nature Reserve ,"3,601","1,664","1,937","2,974","1,358","1,616",78,29,49,287,133,154,262,144,118
             Saujana ,"21,957","10,934","11,023","15,403","7,683","7,720","4,315","2,167","2,148","1,831",899,932,408,185,223
             Senja ,"16,186","8,150","8,036","12,302","6,205","6,097","2,399","1,186","1,213","1,095",580,515,390,179,211
         Bukit Timah ,"70,314","32,979","37,335","60,364","28,261","32,103",720,287,433,"3,497","1,685","1,812","5,733","2,746","2,987"
             Anak Bukit ,"21,990","10,509","11,481","20,046","9,586","10,460",185,74,111,874,429,445,885,420,465
             Coronation Road ,"5,636","2,656","2,980","4,953","2,348","2,605",34,19,15,239,114,125,410,175,235
             Farrer Court ,"4,091","1,909","2,182","3,352","1,559","1,793",184,84,100,233,117,116,322,149,173
             Hillcrest ,"8,323","3,782","4,541","6,880","3,112","3,768",57,18,39,491,217,274,895,435,460
             Holland Road ,"8,452","3,828","4,624","7,160","3,232","3,928",59,20,39,380,173,207,853,403,450
             Leedon Park ,"5,838","2,725","3,113","4,553","2,082","2,471",67,27,40,370,182,188,848,434,414
             Swiss Club ,"5,234","2,428","2,806","4,372","2,006","2,366",59,17,42,264,139,125,539,266,273
             Ulu Pandan ,"10,750","5,142","5,608","9,048","4,336","4,712",75,28,47,646,314,332,981,464,517
         Changi ,"2,155","1,126","1,029","1,062",517,545,541,289,252,435,252,183,117,68,49
             Changi West ,"1,378",712,666,643,305,338,333,186,147,358,199,159,44,22,22
         Choa Chu Kang ,"173,291","86,886","86,405","123,702","61,896","61,806","29,180","14,697","14,483","15,749","8,016","7,733","4,660","2,277","2,383"
             Central ,"20,282","10,107","10,175","15,045","7,440","7,605","3,182","1,598","1,584","1,547",815,732,508,254,254
             Keat Hong ,"16,399","8,250","8,149","11,827","5,916","5,911","2,590","1,350","1,240","1,579",787,792,403,197,206
             Kranji North ,"16,020","8,033","7,987","11,231","5,654","5,577","2,796","1,385","1,411","1,562",786,776,431,208,223
             Pang Sua ,"17,189","8,532","8,657","12,930","6,426","6,504","2,423","1,189","1,234","1,419",710,709,417,207,210
             Peng Siang ,"31,257","15,835","15,422","21,362","10,798","10,564","5,686","2,878","2,808","3,312","1,704","1,608",897,455,442
             Teck Whye ,"26,887","13,629","13,258","17,724","9,019","8,705","5,874","2,992","2,882","2,810","1,399","1,411",479,219,260
             Yew Tee ,"45,257","22,500","22,757","33,583","16,643","16,940","6,629","3,305","3,324","3,520","1,815","1,705","1,525",737,788
         Clementi ,"91,874","44,469","47,405","69,293","33,163","36,130","10,732","5,399","5,333","8,155","4,200","3,955","3,694","1,707","1,987"
             Clementi Central ,"13,020","6,321","6,699","9,653","4,629","5,024","1,790",903,887,"1,065",561,504,512,228,284
             Clementi North ,"23,875","11,258","12,617","18,444","8,591","9,853","2,758","1,351","1,407","1,769",908,861,904,408,496
             Clementi West ,"17,539","8,719","8,820","11,877","5,825","6,052","3,041","1,550","1,491","2,082","1,096",986,539,248,291
             Clementi Woods ,"20,999","10,197","10,802","15,330","7,363","7,967","2,808","1,434","1,374","2,099","1,053","1,046",762,347,415
             Faber ,"4,477","2,173","2,304","3,835","1,853","1,982",36,17,19,348,183,165,258,120,138
             Sunset Way ,"6,795","3,231","3,564","5,591","2,646","2,945",253,118,135,475,232,243,476,235,241
             West Coast ,"5,132","2,544","2,588","4,536","2,237","2,299",42,23,19,314,165,149,240,119,121
         Downtown Core ,"3,722","1,855","1,867","3,044","1,486","1,558",34,11,23,394,213,181,250,145,105
             Bugis ,"2,711","1,313","1,398","2,430","1,181","1,249",20,5,15,222,106,116,39,21,18
         Geylang ,"120,690","59,926","60,764","90,702","44,861","45,841","15,394","7,563","7,831","10,632","5,648","4,984","3,962","1,854","2,108"
             Aljunied ,"43,892","21,731","22,161","36,481","18,032","18,449","2,960","1,448","1,512","2,825","1,502","1,323","1,626",749,877
             Geylang East ,"32,556","15,969","16,587","22,970","11,265","11,705","5,269","2,558","2,711","3,073","1,577","1,496","1,244",569,675
             Kampong Ubi ,"14,128","7,090","7,038","9,087","4,503","4,584","3,241","1,626","1,615","1,403",762,641,397,199,198
             Macpherson ,"30,050","15,093","14,957","22,116","11,032","11,084","3,924","1,931","1,993","3,317","1,794","1,523",693,336,357
         Hougang ,"216,697","107,191","109,506","176,974","87,207","89,767","17,418","8,729","8,689","17,468","9,043","8,425","4,837","2,212","2,625"
             Hougang Central ,"50,316","24,968","25,348","41,596","20,669","20,927","3,645","1,805","1,840","4,035","2,031","2,004","1,040",463,577
             Lorong Ah Soo ,"34,457","16,640","17,817","28,203","13,563","14,640","2,870","1,405","1,465","2,753","1,388","1,365",631,284,347
             Rosyth ,"23,068","11,207","11,861","20,510","9,940","10,570",580,289,291,"1,425",722,703,553,256,297
             Tai Keng ,"12,908","6,263","6,645","10,995","5,286","5,709",727,360,367,966,521,445,220,96,124
             Trafalgar ,"95,922","48,093","47,829","75,648","37,733","37,915","9,596","4,870","4,726","8,286","4,378","3,908","2,392","1,112","1,280"
         Jurong East ,"88,118","44,219","43,899","62,155","31,000","31,155","14,084","7,078","7,006","9,757","5,137","4,620","2,122","1,004","1,118"
             Boon Lay ,"20,176","10,088","10,088","14,780","7,344","7,436","2,691","1,337","1,354","2,191","1,147","1,044",514,260,254
             Jurong Lake ,"1,138",568,570,969,479,490,19,9,10,98,56,42,52,24,28
             Jurong Regional Centre ,"2,542","1,301","1,241","1,822",915,907,417,216,201,245,139,106,58,31,27
             Teban Gardens ,"19,213","9,757","9,456","11,757","5,972","5,785","4,971","2,484","2,487","2,186","1,170","1,016",299,131,168
             Toh Guan ,"15,234","7,639","7,595","11,301","5,666","5,635","1,853",928,925,"1,621",834,787,459,211,248
             Yuhua ,"29,779","14,841","14,938","21,504","10,608","10,896","4,131","2,102","2,029","3,408","1,785","1,623",736,346,390
         Jurong West ,"267,524","135,941","131,583","184,658","93,373","91,285","48,663","24,504","24,159","27,134","14,615","12,519","7,069","3,449","3,620"
             Boon Lay ,"24,384","12,693","11,691","16,182","8,368","7,814","4,726","2,437","2,289","2,616","1,463","1,153",860,425,435
             Central ,"69,324","35,057","34,267","50,985","25,695","25,290","9,885","4,905","4,980","5,990","3,216","2,774","2,464","1,241","1,223"
             Hong Kah ,"59,658","29,997","29,661","40,492","20,188","20,304","11,263","5,685","5,578","6,523","3,480","3,043","1,380",644,736
             Taman Jurong ,"32,338","16,348","15,990","21,862","11,021","10,841","5,903","2,919","2,984","3,645","1,956","1,689",928,452,476
             Wenya ,"8,190","4,193","3,997","5,679","2,889","2,790","1,396",729,667,896,468,428,219,107,112
             Yunnan ,"73,587","37,621","35,966","49,425","25,189","24,236","15,490","7,829","7,661","7,459","4,028","3,431","1,213",575,638
         Kallang ,"99,559","49,979","49,580","75,260","37,398","37,862","7,350","3,698","3,652","14,040","7,535","6,505","2,909","1,348","1,561"
             Bendemeer ,"30,005","14,771","15,234","23,716","11,541","12,175","1,416",720,696,"4,329","2,273","2,056",544,237,307
             Boon Keng ,"11,164","5,516","5,648","8,850","4,332","4,518","1,333",674,659,796,426,370,185,84,101
             Crawford ,"10,032","5,569","4,463","7,348","4,054","3,294","1,235",631,604,"1,220",793,427,229,91,138
             Geylang Bahru ,"13,740","6,925","6,815","10,270","5,162","5,108","1,778",869,909,"1,463",807,656,229,87,142
             Kampong Java ,"12,103","5,968","6,135","9,198","4,510","4,688",393,186,207,"2,023","1,077",946,489,195,294
             Lavender ,"10,562","5,594","4,968","7,757","4,044","3,713",627,329,298,"1,853","1,052",801,325,169,156
             Tanjong Rhu ,"11,120","5,215","5,905","7,427","3,414","4,013",527,270,257,"2,280","1,059","1,221",886,472,414
         Mandai ,"1,865",886,979,"1,527",717,810,72,34,38,187,100,87,79,35,44
         Marine Parade ,"47,318","22,204","25,114","35,667","16,537","19,130","3,426","1,673","1,753","5,842","2,853","2,989","2,383","1,141","1,242"
             Katong ,"9,397","4,465","4,932","8,135","3,820","4,315",102,44,58,684,348,336,476,253,223
             Marine Parade ,"28,553","13,341","15,212","20,933","9,633","11,300","3,263","1,604","1,659","3,009","1,478","1,531","1,348",626,722
             Mountbatten ,"9,367","4,397","4,970","6,599","3,084","3,515",61,25,36,"2,149","1,027","1,122",558,261,297
         Newton ,"6,242","2,865","3,377","4,353","1,929","2,424",66,28,38,752,353,399,"1,071",555,516
             Cairnhill ,"2,844","1,276","1,568","2,019",877,"1,142",22,5,17,355,159,196,448,235,213
             Monk's Hill ,"1,159",538,621,825,372,453,16,9,7,159,77,82,159,80,79
             Orange Grove ,"1,338",610,728,886,393,493,15,6,9,148,64,84,289,147,142
